id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
723033,Spacy family studio in Antwerp City,3734348,Sylvia,,Stadspark,51.20955,4.41481,Entire home/apt,60,2,244,2020-03-08,2.62,1,147
772842,Stay in a designers place & donate,4050173,Daisy,,Linkeroever,51.21775,4.38434,Entire home/apt,75,7,66,2018-06-01,0.73,1,352
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,,Stadspark,51.20399,4.41249,Entire home/apt,65,2,62,2020-01-01,0.68,1,0
789555,+++blancoooJOZEFIEN+++ roofterrace,3185214,Annemie,,Centraal Station,51.2117,4.42665,Entire home/apt,93,2,48,2020-03-09,0.53,4,321
813969,150 sqm loft (terrace & river view),4277604,Sarah,,Zuid,51.21264,4.39098,Entire home/apt,177,1,57,2020-02-28,0.93,2,283
842077,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,401,2019-12-28,4.40,4,360
866701,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,283,2020-01-02,3.14,4,361
890384,+++ blancoooHOME +++,3185214,Annemie,,Centraal Station,51.21198,4.4269,Entire home/apt,150,7,0,,,4,99
891355,"BorzeB&B, sleeping in the heart of Antwerp!",1366391,Micheline,,Universiteitsbuurt,51.22043,4.40562,Private room,85,2,79,2020-02-03,0.91,1,0
891884,aplace/antwerp: amazing suite & square view,234077,Karin,,Historisch Centrum,51.21874,4.39835,Hotel room,150,1,14,2019-10-20,1.16,4,263
891907,aplace/antwerp: stunning flat with square view,234077,Karin,,Historisch Centrum,51.21825,4.39901,Entire home/apt,180,2,5,2020-02-09,0.07,4,0
959200,NEST,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21596,4.43764,Entire home/apt,48,2,58,2020-06-13,0.72,2,327
961296,Great Classic House in Antwerp (10p),3189018,Cathy,,Borgerhout Intra Muros Noord,51.21531,4.44498,Entire home/apt,340,2,48,2020-01-29,0.67,3,0
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,227,2020-01-01,2.60,2,363
1038791,Central apartment with kitchen and shower,5717453,Ann,,Universiteitsbuurt,51.22252,4.40751,Entire home/apt,62,2,295,2020-02-23,3.36,1,305
1050693,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,22,2020-02-28,0.27,2,0
1105318,"Number22Antwerp, cosy duplex",6068286,Frederic Luca,,Zuid,51.21024,4.39995,Entire home/apt,75,2,29,2020-01-01,0.34,2,361
1108491,3 Cosy Rooms near Central Station!,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,215,2020-03-13,2.48,4,361
1138959,Nice house in nice area,6247867,Lut,,Zurenborg,51.20755,4.43175,Private room,35,5,113,2018-05-01,1.31,1,0
1172376,"Number22Antwerp, Cosy & Trendy Flat",6068286,Frederic Luca,,Zuid,51.21026,4.40138,Entire home/apt,80,1,15,2017-01-05,0.18,2,365
1172826,Bedroom in large antique house near parks+trams,1167377,Geert,,Deurne Zuid West,51.19813,4.45807,Private room,16,7,3,2020-03-04,0.25,2,338
1184623,Luxe penthouse,4865806,Tommie,,Eilandje,51.23133,4.41015,Entire home/apt,175,2,20,2020-03-09,0.24,2,271
1209063,Room with a view!,6596883,Martine,,Borgerhout Intra Muros Zuid,51.21053,4.43308,Entire home/apt,77,1,33,2020-03-14,0.39,1,171
1227242,Cosy ship Hannus Antwerp Belgium,4193029,Jan,,Eilandje,51.22775,4.40388,Private room,60,1,3,2020-03-08,0.74,2,335
1266888,Entire Artist Apartment Antwerp!,1718830,Sachli,,Amandus - Atheneum,51.2229,4.4184,Entire home/apt,90,2,89,2019-09-29,1.04,1,19
1267516,"Suites in Antwerp:""Suite Frederik""",5758428,Philip-Emmanuel,,Zurenborg,51.207,4.42702,Entire home/apt,179,1,3,2013-10-13,0.04,2,364
1292916,Cosy room in historic town centre,3998871,Rob,,Stadspark,51.21432,4.41321,Private room,45,2,49,2018-02-16,0.58,1,0
1306743,Studio apt (duplex) in Antwerp's City Center,2804839,Nele,,Historisch Centrum,51.22396,4.40464,Entire home/apt,70,3,2,2019-08-26,0.20,2,0
1328770,Cosy historic Ship Hannus  Antwerp,4193029,Jan,,Eilandje,51.22875,4.40254,Private room,60,1,132,2020-03-08,1.57,2,339
1338036,Leuke stadswoning met zuidtuin en eco-zwemvijver,4067344,Siri,,Borgerhout Extra Muros,51.19796,4.45632,Private room,60,3,3,2019-04-22,0.07,1,0
1405414,bright apartment with parkview,4870468,Debora - Jo,,Stadspark,51.21388,4.41573,Entire home/apt,90,3,98,2020-03-09,1.17,1,0
1427505,Trendy apartment near city park !,7672678,Mark,,Stadspark,51.21205,4.41315,Entire home/apt,80,10,41,2019-10-31,0.49,1,234
1444602,Ground floor appartment with garden,7755956,Sabien,,Zurenborg,51.20794,4.42839,Entire home/apt,50,4,10,2019-08-11,0.12,1,0
1504952,"""Antwerp B&B""",573329,Patricia,,Centraal Station,51.21692,4.42749,Private room,100,1,54,2019-11-29,0.65,1,354
1534890,Camping in a Theatre-Atelier: temporarily closed,8185571,Theatre-Atelier,,Deurne Noord,51.23229,4.45124,Private room,35,1,150,2020-03-16,1.84,1,0
1577011,New and bright apartment in center,8382721,Rien,,Stuivenberg,51.22105,4.42809,Entire home/apt,65,4,33,2019-11-01,0.40,1,337
1585405,Relax and enjoy Antwerp :-),8446724,Vera,,Deurne Dorp - Gallifort,51.22337,4.46923,Private room,35,2,193,2020-03-11,2.33,1,175
1666809,Duplex apartment/loft close to MAS with parking,4127444,Maarten,,Historisch Centrum,51.22487,4.40336,Entire home/apt,100,2,3,2020-04-30,0.79,1,0
1708652,"Suites in Antwerp: ""suite Joachim""",5758428,Philip-Emmanuel,,Zurenborg,51.20828,4.42645,Entire home/apt,70,2,2,2020-01-06,0.27,2,0
1785355,Cosy room behind the zoo!,5537956,Héloïse,,Stuivenberg,51.22266,4.43502,Private room,36,1,219,2020-03-08,2.69,1,78
1791465,Lovely flat in trendy neighborhood,9399334,Dirk & Leen,,Borgerhout Intra Muros Noord,51.21406,4.43907,Entire home/apt,38,3,73,2020-03-08,0.90,1,280
1808782,LOFT 1D  - conceptual loft,9478810,Keith,,Sint-Andries,51.21232,4.39571,Entire home/apt,110,2,179,2020-03-08,2.26,1,330
1986344,Whitebox loft with a VIEW!!!,3149952,Isabelle,,Zuid,51.21094,4.39756,Entire home/apt,104,4,249,2019-08-30,3.14,1,274
2059299,Casual house nicely located,7034290,Kwinten,,Haringrode,51.20202,4.41754,Private room,22,2,34,2020-03-30,1.21,1,175
2059774,spacious and comfortable apartment,8689159,Agnes,,Oud - Berchem,51.19714,4.41722,Entire home/apt,85,6,12,2020-02-22,0.15,1,362
2069688,Authentic centre Antwerp: cozy view,10583986,Amada,,Historisch Centrum,51.22642,4.401,Entire home/apt,60,1,139,2020-03-06,1.76,1,362
